181562673221791, 338272173381384, 367757712264029 @ 54, -10, -10
206315329209944, 245384073975106, 327941392745372 @ 55, 100, 14
197625997051112, 364791147875511, 421084289548856 @ 13, -27, -52
335607631675402, 372977327877226, 443503801516025 @ -91, -180, -307
376965726440887, 243145753709446, 134693184039803 @ -60, -103, 438
275283382407707, 271946025294316, 261942712309417 @ -31, 55, 99
184473941815821, 260190025352516, 334809258307979 @ 46, 90, 35
248747432562397, 292825978198210, 296262988127717 @ 33, 9, 27
233282077872895, 269698571568655, 349260681338282 @ -12, 77, 14
289832617329133, 247310128837201, 364857887373709 @ -78, 103, -15
176510447686183, 285361628169508, 268796009216369 @ 92, 45, 101
173077274557783, 342809180288503, 381193797311774 @ 12, 17, 22
338197337823745, 208688417067388, 262562967802577 @ -19, 136, -59
124016688125887, 256968737904589, 372750640778267 @ 68, 105, 27
325149428756895, 361379049392837, 209001310210807 @ -76, -145, 163
253976258556295, 193124198162056, 312138083232833 @ 70, 178, -44
378596236273183, 231895538890288, 254905382141909 @ -48, -62, -373
224973520218728, 220472972985443, 228282364691207 @ 67, 131, 143
346972455220783, 376128181087648, 219089567689529 @ -128, -142, 153
194891381248987, 341939810732800, 298055964752030 @ 136, -82, 16
268631000175487, 260391421511819, 271165340356205 @ 36, 47, 41
390961594308071, 175701973054280, 191639068825713 @ -95, 398, -6
239282117255637, 302971698559003, 273253909331433 @ 130, -59, 13
375169157673286, 440906377097719, 455688520466693 @ -171, -305, -319
389354581104375, 259046365255576, 261631061379501 @ -80, -422, -692
363909741820838, 143727477234489, 196962106286293 @ 157, 693, -47
134058908931127, 109573327969703, 122711220866454 @ 300, 341, 330
345378216612978, 230029990821320, 233232686321991 @ 17, 38, -33
346278365905713, 268060717608134, 148345178285689 @ -98, 12, 285
301993883158924, 202646196395387, 422059457827578 @ -21, 159, -272
302900291580407, 113811588900180, 360050527110785 @ -52, 314, -91
314215338670581, 442661597371898, 286777787001103 @ -115, -139, 94
73485654784612, 227444244495455, 142532185860807 @ 135, 135, 271
191716102992463, 316513954730740, 207404598033569 @ 82, -5, 185
353480547346623, 229708640151188, 184123612031809 @ 34, 9, 153
287651081353953, 260151513044618, 339842520020129 @ -115, 107, 77
384859152975880, 219516961898458, 169601357797985 @ 51, -124, 197
289181142397513, 358109881230418, 239297076804479 @ -75, -45, 148
246011259732974, 180495865234476, 222295339641605 @ 145, 210, 113
362933947846827, 224445185589322, 215528822021969 @ -26, 43, 5
334864957684888, 258063592787374, 236116581601097 @ -13, -16, 29
335128154699797, 193103990705438, 406941878080253 @ -114, 176, -151
212650469710183, 173522809994728, 154756338204449 @ 56, 204, 262
261155597759258, 365250285781953, 339523838631449 @ 149, -271, -211
188487353621487, 424903026405464, 89908157766377 @ 103, -180, 362
378853791124582, 292485330206872, 214681378464893 @ -171, -42, 137
79393850811029, 66353436972592, 257807145798867 @ 95, 298, 154
323162994624628, 169156971144598, 257265211113059 @ 113, 292, -137
393490001855158, 258916912837279, 212763818527253 @ -103, -517, -287
361156978649963, 215281182789768, 234252868642873 @ -13, 86, -93
250930306653319, 442285474209160, 356991679892369 @ -55, -108, 30
88004022065719, 136973968591396, 264540373062065 @ 184, 247, 117
139077199481279, 356838817208182, 339399214073987 @ 80, -17, 44
366640498293653, 221423485959773, 189593402985354 @ 178, -73, -6
156654429837175, 101556474710683, 130551672108656 @ 140, 311, 298
138318009435529, 307691006876284, 263548888956727 @ 81, 40, 132
378038785142823, 285671133485900, 216282012604045 @ 92, -883, -362
